name,KO/TKO,Submission,Unanimous Decision,Majority Decision,Split Decision,No Contest,Losses,StrikeBonus,5roundBonus,Value
Alistair Overeem,1900,720,320,75,0,10,160,649,250,4084
Anderson Silva,1900,270,640,0,0,10,110,631,400,3961
Max Holloway,1000,180,640,0,70,0,70,1318,375,3653
Gegard Mousasi,1500,630,480,75,0,0,50,725,150,3610
Georges St-Pierre,800,540,800,0,140,0,20,892,375,3567
Donald Cerrone,1000,900,720,0,0,20,170,443,300,3553
Mauricio Rua,2100,90,240,0,210,0,140,539,225,3544
Michael Bisping,1200,90,640,0,140,0,90,698,350,3208
Andrei Arlovski,1100,180,720,0,210,10,220,503,225,3168
Dan Henderson,1600,90,400,0,350,0,150,274,275,3139
Wanderlei Silva,1700,90,320,0,140,10,110,479,125,2974
Jon Jones,500,540,720,0,70,10,10,720,400,2970
Mirko Filipovic,1900,270,240,0,0,10,100,346,75,2941
Dustin Poirier,1100,360,480,75,0,10,90,466,350,2931
Nick Diaz,1000,540,160,0,70,20,80,802,250,2922
Lyoto Machida,900,180,720,0,210,0,80,505,300,2895
Jose Aldo,1100,0,880,0,0,0,80,363,400,2823
Jim Miller,600,1080,480,0,140,10,170,292,50,2822
Rafael Dos Anjos,400,450,880,0,70,0,140,485,350,2775
Fabricio Werdum,600,990,480,0,0,0,90,426,175,2761
Nate Diaz,400,1080,240,0,70,0,120,605,200,2715
Vitor Belfort,1500,270,320,0,0,10,140,204,250,2694
Rich Franklin,1100,450,320,0,0,10,70,539,175,2664
Kazushi Sakuraba,300,1710,240,0,0,20,150,236,0,2656
Neil Magny,600,180,800,0,280,0,110,606,75,2651
Robbie Lawler,1400,0,320,0,210,10,150,210,325,2625
Frankie Edgar,400,180,800,0,140,0,110,610,375,2615
Urijah Faber,300,1080,400,0,0,0,100,348,375,2603
Quinton Jackson,1200,0,400,0,280,0,100,511,100,2591
King Green,300,360,640,0,210,10,130,886,50,2586
Demetrious Johnson,200,540,640,75,70,0,30,664,350,2569
Derrick Lewis,1500,0,160,0,140,0,100,301,300,2501
Daniel Cormier,800,360,480,0,70,10,30,468,275,2493
Charles Oliveira,400,1440,160,0,0,10,100,211,150,2471
Gilbert Melendez,800,0,560,0,140,0,80,587,300,2467
Joseph Benavidez,600,360,800,0,70,0,80,423,125,2458
Josh Barnett,700,990,160,0,70,0,80,348,100,2448
Fedor Emelianenko,700,810,400,0,0,10,30,439,50,2439
Antonio Rodrigo Nogueira,300,1170,560,0,0,10,90,201,100,2431
BJ Penn,600,540,240,75,70,0,140,423,325,2413
Ovince Saint Preux,900,450,320,75,140,0,140,246,125,2396
Jessica Andrade,600,270,480,0,140,0,110,612,150,2362
Amanda Nunes,800,270,400,0,70,0,30,488,300,2358
Demian Maia,100,990,640,75,70,0,110,179,175,2339
Cub Swanson,600,180,800,0,70,0,130,451,100,2331
Diego Sanchez,600,180,800,0,210,0,130,373,25,2318
Shinya Aoki,100,1440,480,0,70,10,40,124,50,2314
Junior Dos Santos,1000,0,400,0,0,0,80,534,300,2314
Randy Couture,600,360,320,75,0,0,90,454,350,2249
Glover Teixeira,700,720,160,0,70,0,80,267,250,2247
Sean Strickland,400,90,560,0,280,0,60,607,200,2197
Matt Brown,1300,180,160,0,0,0,130,362,50,2182
Robert Whittaker,600,0,800,0,70,0,50,458,200,2178
Jorge Masvidal,600,90,640,0,70,0,110,493,175,2178
Jacare Souza,500,900,320,0,0,10,90,182,175,2177
Matt Hughes,600,450,400,0,0,0,70,343,300,2163
Clay Guida,200,450,720,0,280,0,190,227,75,2142
Kamaru Usman,400,90,800,0,0,0,30,555,250,2125
Chuck Liddell,1100,0,480,0,0,0,80,287,175,2122
Edson Barboza,900,0,560,75,70,0,120,267,125,2117
Alexander Volkanovski,500,0,560,0,70,0,30,709,225,2094
Benson Henderson,100,450,480,0,280,0,40,389,350,2089
Rogerio Nogueira,800,360,320,0,210,0,90,266,25,2071
Tatsuya Kawajiri,400,540,800,0,0,0,80,219,25,2064
Cain Velasquez,1200,0,160,0,0,0,30,486,175,2051
Aljamain Sterling,200,360,560,0,140,0,40,626,125,2051
Joanna Jedrzejczyk,200,0,560,0,70,0,50,894,275,2049
Tyron Woodley,600,360,240,150,210,0,70,192,225,2047
Tito Ortiz,700,180,320,0,140,0,110,329,225,2004
Thiago Santos,1100,0,240,0,0,0,100,376,175,1991
Valentina Shevchenko,400,180,400,0,210,0,30,407,350,1977
Luke Rockhold,600,630,160,0,0,0,50,259,275,1974
Stipe Miocic,900,0,400,0,0,0,40,327,300,1967
Cristiane Justino,900,0,240,0,0,10,10,580,225,1965
Derek Brunson,700,270,560,0,0,0,80,205,125,1940
Tim Means,600,180,480,0,70,10,140,455,0,1935
TJ Dillashaw,700,90,320,0,70,0,50,472,225,1927
Alex Caceres,100,360,560,0,210,10,130,530,25,1925
Carlos Condit,500,360,240,0,70,0,110,383,250,1913
Mark Hunt,1000,0,80,75,140,10,140,288,175,1908
Takanori Gomi,900,270,240,0,140,10,110,236,0,1906
Mark Coleman,700,450,320,0,0,0,100,322,0,1892
Igor Vovchanchyn,800,180,480,0,0,10,80,337,0,1887
Rashad Evans,700,0,480,75,280,0,80,143,125,1883
Darren Elkins,400,270,720,0,140,0,100,251,0,1881
Stephen Thompson,600,0,480,75,0,0,80,420,225,1880
Anthony Pettis,400,630,320,0,70,0,100,150,175,1845
Josh Thomson,400,450,400,75,0,0,80,311,125,1841
Jeremy Stephens,700,0,480,0,70,10,180,295,100,1835
Beneil Dariush,300,450,480,75,140,0,60,300,25,1830
Israel Adesanya,500,0,560,0,70,0,40,332,325,1827
Alexander Volkov,600,90,320,0,70,0,40,527,175,1822
Kevin Holland,500,450,160,0,140,10,90,367,100,1817
Nate Marquardt,700,270,320,0,0,0,130,293,100,1813
Francisco Trinaldo,400,180,720,0,140,0,80,292,0,1812
Michael Johnson,500,0,640,0,70,0,150,387,50,1797
Ryan Bader,500,90,640,0,70,0,50,346,100,1796
Frank Mir,500,720,160,0,0,0,110,104,200,1794
